state_abbrev,fips,age_group,race,registered
CA,013,18-34,Caucasian,59606
MS,047,65+,Caucasian,21887
CT,005,35-64,Caucasian,41451
WI,029,65+,Caucasian,8076
MI,151,18-34,Caucasian,4057
AZ,017,35-64,Uncoded,804
RI,003,35-64,Uncoded,1705
VA,710,18-34,Caucasian,13030
CA,061,35-64,Caucasian,80517
PA,101,65+,African-American,56682
VA,049,18-34,Caucasian,791
MN,053,35-64,Caucasian,247685
CA,029,18-34,Caucasian,32812
IL,111,18-34,Caucasian,29251
NC,141,35-64,African-American,1773
MN,165,35-64,Caucasian,1711
NC,107,18-34,African-American,1931
TN,155,35-64,Caucasian,19914
KY,101,65+,Caucasian,6373
NC,023,65+,Caucasian,11788
KY,185,18-34,Caucasian,7437
MI,051,65+,Caucasian,5842
VA,760,35-64,Caucasian,21093
FL,031,35-64,Caucasian,123547
GA,127,65+,Caucasian,11432
TX,333,35-64,Caucasian,814
GA,051,18-34,African-American,12937
MT,043,35-64,Caucasian,2989
CA,029,65+,Hispanic,13252
AL,003,35-64,Caucasian,48904
NC,025,18-34,Caucasian,16809
MO,159,35-64,Caucasian,8134
GA,285,65+,African-American,1827
MA,025,65+,Asian,2770
NC,059,65+,Caucasian,6843
AL,117,35-64,Caucasian,47098
SC,003,35-64,African-American,9637
GA,115,35-64,Uncoded,49
TX,157,35-64,Caucasian,92172
MI,033,18-34,Caucasian,3183
AL,073,18-34,African-American,35253
PA,089,65+,African-American,743
FL,127,35-64,Caucasian,88462
WA,077,35-64,Hispanic,9796
AZ,025,65+,Uncoded,1338
SC,015,35-64,Hispanic,1236
MO,213,65+,Caucasian,8556
TN,059,35-64,Caucasian,13220
MS,033,65+,Caucasian,18537
PA,003,18-34,African-American,12244
IL,137,18-34,Caucasian,2801
FL,073,35-64,African-American,15840
OK,143,18-34,Caucasian,46972
FL,083,35-64,Uncoded,186
VT,027,35-64,Caucasian,11840
KY,093,35-64,Caucasian,23272
NJ,005,65+,Caucasian,54463
SC,027,65+,African-American,2292
FL,073,65+,Caucasian,25706
MO,011,35-64,Caucasian,2530
NM,053,65+,Hispanic,627
MN,161,18-34,Caucasian,1480
SC,053,65+,African-American,1276
PA,077,35-64,Caucasian,63641
NC,077,65+,Caucasian,5304
TN,119,18-34,Caucasian,9633
NY,051,65+,Caucasian,9444
IN,089,18-34,African-American,10000
NM,013,35-64,Hispanic,16586
CA,101,65+,Caucasian,7615
DE,005,18-34,African-American,1786
KY,231,18-34,Caucasian,1825
OK,111,18-34,Caucasian,2062
SC,019,65+,African-American,12127
NV,003,18-34,Asian,9649
AL,113,65+,Caucasian,3847
CT,009,35-64,Uncoded,10552
PA,127,65+,Caucasian,8398
WV,033,65+,Caucasian,8559
FL,083,65+,African-American,4601
GA,121,35-64,Other,5537
SC,041,65+,Caucasian,12296
AL,069,18-34,Caucasian,7911
MA,025,35-64,African-American,21242
MD,031,18-34,Asian,11537
OR,011,35-64,Caucasian,13332
GA,015,35-64,Caucasian,20845
LA,057,18-34,Native American,246
LA,103,65+,Caucasian,33132
MS,087,35-64,African-American,4332
GA,245,35-64,African-American,22833
CA,047,65+,Caucasian,12636
KY,029,18-34,Caucasian,8548
FL,109,18-34,Caucasian,25546
OK,137,18-34,Caucasian,3165
AR,075,65+,Caucasian,1817
MN,109,18-34,Caucasian,16026
NC,101,18-34,Caucasian,17654
SC,079,65+,African-American,19354
TX,381,35-64,Hispanic,2892
TX,135,18-34,Caucasian,5683
TX,073,35-64,Caucasian,7409
ND,097,65+,Caucasian,1293
NY,013,65+,Caucasian,19304
TX,423,35-64,African-American,5483
OH,053,35-64,Caucasian,6222
LA,079,35-64,Caucasian,18159
MO,145,18-34,Caucasian,6135
GA,031,65+,Caucasian,5417
GA,179,35-64,Hispanic,623
MN,055,65+,Caucasian,3609
LA,017,35-64,Hispanic,413
IL,027,35-64,Caucasian,9246
WI,115,18-34,Uncoded,34
TN,159,65+,Caucasian,2397
MS,083,65+,African-American,2069
MD,021,18-34,Caucasian,31208
WV,037,65+,Caucasian,6589
NY,119,18-34,African-American,6705
MT,093,65+,Caucasian,5285
TN,037,65+,Caucasian,48804
MI,147,65+,Caucasian,25387
NJ,003,35-64,Asian,17530
IN,167,18-34,Caucasian,11013
VA,117,35-64,Caucasian,4462
VA,105,35-64,Caucasian,4428
AL,129,65+,Native American,50
NY,075,18-34,Caucasian,10611
LA,127,18-34,Caucasian,830
