,,Total Vote,B,T,P,Margin,Margin (%),,Biden,Trump,Pierce,Other,Biden,Trump,Pierce,Jorgensen,Hawkins,Blankenship,de la Fuente,West,La Riva,Write-ins,Kennedy,Myers,Carroll,Collins,Huber,Segal,Janos,Kopitke,Hunter,Kishore,Hammons,Boddie,Charles,Duncan,Hoefling,Jacob-Fambro,King,LaFontaine,McCormic,McHugh,Paige,Scalf,Scott,Simmons,Swing,Tittle,None,Gammon,,J,H,B,d,Jorgensen,Hawkins,Blankenship,de la Fuente,,,,CD,,ST,CTY,FIPS,FIPS2010,LSAD_TRANS,Blank/Under,Void/Over,,,,,,,,,,Total Vote (county report),Total Write-ins,Other,,Qualified Write-ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autauga,AL,"27,770",,,0,"12,335",44.42%,,27.02%,71.44%,0.00%,1.54%,"7,503","19,838",,350,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.26%,0.00%,0.00%,0.00%,,Autauga,AL,2,,01,001,01001,01001,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin,AL,"109,679",,,0,"58,966",53.76%,,22.41%,76.17%,0.00%,1.42%,"24,578","83,544",,"1,229",,,,,,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.12%,0.00%,0.00%,0.00%,,Baldwin,AL,1,,01,003,01003,01003,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbour,AL,"10,518",,,0,806,7.66%,,45.79%,53.45%,0.00%,0.76%,"4,816","5,622",,68,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.65%,0.00%,0.00%,0.00%,,Barbour,AL,2,,01,005,01005,01005,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibb,AL,"9,595",,,0,"5,539",57.73%,,20.70%,78.43%,0.00%,0.88%,"1,986","7,525",,74,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.77%,0.00%,0.00%,0.00%,,Bibb,AL,6,,01,007,01007,01007,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blount,AL,"27,588",,,0,"22,071",80.00%,,9.57%,89.57%,0.00%,0.86%,"2,640","24,711",,209,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.76%,0.00%,0.00%,0.00%,,Blount,AL,,,01,009,01009,01009,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullock,AL,"4,613",,,0,"2,300",49.86%,,74.70%,24.84%,0.00%,0.46%,"3,446","1,146",,19,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.41%,0.00%,0.00%,0.00%,,Bullock,AL,2,,01,011,01011,01011,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butler,AL,"9,488",,,0,"1,493",15.74%,,41.79%,57.53%,0.00%,0.69%,"3,965","5,458",,59,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.62%,0.00%,0.00%,0.00%,,Butler,AL,2,,01,013,01013,01013,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun,AL,"50,983",,,0,"19,885",39.00%,,29.85%,68.85%,0.00%,1.31%,"15,216","35,101",,553,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.08%,0.00%,0.00%,0.00%,,Calhoun,AL,3,,01,015,01015,01015,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chambers,AL,"15,284",,,0,"2,388",15.62%,,41.64%,57.27%,0.00%,1.09%,"6,365","8,753",,141,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.92%,0.00%,0.00%,0.00%,,Chambers,AL,3,,01,017,01017,01017,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
