geoid,age,race,population,registered,reg_frac
01001,18-34,Native American,11,11,1.0
01001,18-34,Asian,196,42,0.21428571428571427
01001,18-34,Black,2524,1506,0.5966719492868463
01001,18-34,Other,157,66,0.42038216560509556
01001,18-34,White,8474,5340,0.630162851073873
01001,18-34,Hispanic,586,73,0.12457337883959044
01001,35-64,Native American,85,31,0.36470588235294116
01001,35-64,Asian,232,111,0.47844827586206895
01001,35-64,Black,4218,2933,0.6953532479848269
01001,35-64,Other,102,125,1.2254901960784315
01001,35-64,White,17039,11130,0.6532073478490522
01001,35-64,Hispanic,388,113,0.2912371134020619
01001,65+,Native American,2,18,9.0
01001,65+,Asian,44,30,0.6818181818181818
01001,65+,Black,1146,994,0.8673647469458988
01001,65+,Other,47,29,0.6170212765957447
01001,65+,White,7015,6004,0.8558802565930149
01001,65+,Hispanic,58,13,0.22413793103448276
01003,18-34,Native American,452,103,0.22787610619469026
01003,18-34,Asian,201,175,0.8706467661691543
01003,18-34,Black,4649,2137,0.45966874596687457
01003,18-34,Other,692,212,0.3063583815028902
01003,18-34,White,31534,20272,0.6428616731147333
01003,18-34,Hispanic,2346,537,0.2289002557544757
01003,35-64,Native American,757,197,0.26023778071334214
01003,35-64,Asian,973,374,0.38437821171634123
01003,35-64,Black,6976,3942,0.5650802752293578
01003,35-64,Other,885,403,0.4553672316384181
01003,35-64,White,72282,48904,0.6765723139924186
01003,35-64,Hispanic,3273,673,0.20562175374274366
01003,65+,Native American,159,112,0.7044025157232704
01003,65+,Asian,185,95,0.5135135135135135
01003,65+,Black,2130,1504,0.7061032863849765
01003,65+,Other,51,206,4.03921568627451
01003,65+,White,39516,35701,0.9034568276141309
01003,65+,Hispanic,537,152,0.28305400372439476
01005,18-34,Native American,12,5,0.4166666666666667
01005,18-34,Asian,19,3,0.15789473684210525
01005,18-34,Black,3076,1155,0.37548764629388814
01005,18-34,Other,297,12,0.04040404040404041
01005,18-34,White,2105,1052,0.4997624703087886
01005,18-34,Hispanic,381,27,0.07086614173228346
01005,35-64,Native American,61,11,0.18032786885245902
01005,35-64,Asian,63,13,0.20634920634920634
01005,35-64,Black,4419,2358,0.5336048879837068
01005,35-64,Other,157,22,0.14012738853503184
01005,35-64,White,4753,2644,0.5562802440563854
01005,35-64,Hispanic,242,19,0.07851239669421488
01005,65+,Native American,9,4,0.4444444444444444
01005,65+,Asian,13,4,0.3076923076923077
01005,65+,Black,1644,1383,0.8412408759124088
01005,65+,Other,43,7,0.16279069767441862
01005,65+,White,2981,2294,0.769540422676954
01005,65+,Hispanic,31,2,0.06451612903225806
01007,18-34,Native American,1,2,2.0
01007,18-34,Asian,1,5,5.0
01007,18-34,Black,1435,420,0.2926829268292683
01007,18-34,Other,1,5,5.0
01007,18-34,White,3355,1974,0.5883755588673621
01007,18-34,Hispanic,185,14,0.07567567567567568
01007,35-64,Native American,30,10,0.3333333333333333
01007,35-64,Asian,1,3,3.0
01007,35-64,Black,2131,721,0.338338808071328
01007,35-64,Other,9,6,0.6666666666666666
01007,35-64,White,6954,4047,0.5819672131147541
01007,35-64,Hispanic,206,16,0.07766990291262135
01007,65+,Native American,1,4,4.0
01007,65+,Asian,27,2,0.07407407407407407
01007,65+,Black,475,281,0.5915789473684211
01007,65+,Other,1,2,2.0
01007,65+,White,3041,2218,0.7293653403485696
01007,65+,Hispanic,41,2,0.04878048780487805
01009,18-34,Native American,14,19,1.3571428571428572
01009,18-34,Asian,76,10,0.13157894736842105
01009,18-34,Black,116,133,1.146551724137931
01009,18-34,Other,124,33,0.2661290322580645
01009,18-34,White,9737,6318,0.6488651535380507
01009,18-34,Hispanic,1325,442,0.33358490566037735
01009,35-64,Native American,21,34,1.619047619047619
01009,35-64,Asian,31,28,0.9032258064516129
01009,35-64,Black,346,190,0.5491329479768786
01009,35-64,Other,131,58,0.44274809160305345
01009,35-64,White,20475,13364,0.6526984126984127
01009,35-64,Hispanic,1715,279,0.16268221574344024
01009,65+,Native American,2,20,10.0
01009,65+,Asian,30,11,0.36666666666666664
01009,65+,Black,141,93,0.6595744680851063
01009,65+,Other,7,20,2.857142857142857
01009,65+,White,9945,7982,0.8026143790849674
01009,65+,Hispanic,205,48,0.23414634146341465
01011,18-34,Native American,1,3,3.0
01011,18-34,Asian,1,3,3.0
01011,18-34,Black,1863,852,0.4573268921095008
01011,18-34,Other,54,4,0.07407407407407407
01011,18-34,White,346,166,0.4797687861271676
01011,18-34,Hispanic,55,20,0.36363636363636365
01011,35-64,Native American,1,0,0.0
01011,35-64,Asian,1,5,5.0
01011,35-64,Black,2963,1607,0.5423557205534931
01011,35-64,Other,80,2,0.025
01011,35-64,White,1054,468,0.444022770398482
01011,35-64,Hispanic,133,1,0.007518796992481203
01011,65+,Native American,1,3,3.0
01011,65+,Asian,9,2,0.2222222222222222
01011,65+,Black,1072,885,0.8255597014925373
01011,65+,Other,1,3,3.0
01011,65+,White,559,450,0.8050089445438283
01011,65+,Hispanic,1,0,0.0
01013,18-34,Native American,1,2,2.0
01013,18-34,Asian,30,6,0.2
01013,18-34,Black,2130,1055,0.4953051643192488
01013,18-34,Other,1,15,15.0
01013,18-34,White,1701,1019,0.5990593768371546
01013,18-34,Hispanic,64,7,0.109375
01013,35-64,Native American,3,1,0.3333333333333333
01013,35-64,Asian,15,15,1.0
01013,35-64,Black,3342,1926,0.5763016157989228
01013,35-64,Other,30,17,0.5666666666666667
01013,35-64,White,4123,2576,0.6247877758913413
01013,35-64,Hispanic,87,8,0.09195402298850575
01013,65+,Native American,8,2,0.25
01013,65+,Asian,8,4,0.5
01013,65+,Black,1315,924,0.7026615969581749
01013,65+,Other,12,6,0.5
01013,65+,White,2545,1983,0.7791748526522594
01013,65+,Hispanic,25,3,0.12
01015,18-34,Native American,83,21,0.25301204819277107
01015,18-34,Asian,183,47,0.2568306010928962
01015,18-34,Black,6312,2716,0.4302915082382763
01015,18-34,Other,723,129,0.17842323651452283
01015,18-34,White,17521,8720,0.4976884880999943
01015,18-34,Hispanic,1249,166,0.13290632506004804
01015,35-64,Native American,134,56,0.417910447761194
01015,35-64,Asian,434,115,0.26497695852534564
01015,35-64,Black,8574,4986,0.5815255423372988
01015,35-64,Other,755,193,0.2556291390728477
01015,35-64,White,33539,19231,0.5733921703091923
01015,35-64,Hispanic,1198,231,0.19282136894824708
01015,65+,Native American,44,29,0.6590909090909091
01015,65+,Asian,174,86,0.4942528735632184
01015,65+,Black,2712,2206,0.8134218289085545
01015,65+,Other,51,63,1.2352941176470589
01015,65+,White,16585,13151,0.7929454326198372
01015,65+,Hispanic,201,78,0.3880597014925373
01017,18-34,Native American,25,4,0.16
01017,18-34,Asian,119,8,0.06722689075630252
01017,18-34,Black,3104,1568,0.5051546391752577
01017,18-34,Other,1,30,30.0
01017,18-34,White,3477,1967,0.5657175726200748
01017,18-34,Hispanic,209,22,0.10526315789473684
01017,35-64,Native American,53,9,0.16981132075471697
01017,35-64,Asian,181,32,0.17679558011049723
01017,35-64,Black,5259,3050,0.579958166951892
01017,35-64,Other,36,26,0.7222222222222222
01017,35-64,White,7465,4492,0.6017414601473543
01017,35-64,Hispanic,215,35,0.16279069767441862
01017,65+,Native American,34,4,0.11764705882352941
01017,65+,Asian,41,13,0.3170731707317073
01017,65+,Black,1950,1558,0.798974358974359
01017,65+,Other,1,14,14.0
01017,65+,White,4425,3413,0.7712994350282486
01017,65+,Hispanic,20,7,0.35
01019,18-34,Native American,2,7,3.5
01019,18-34,Asian,1,6,6.0
01019,18-34,Black,117,124,1.0598290598290598
01019,18-34,Other,1,8,8.0
01019,18-34,White,4122,2401,0.5824842309558467
01019,18-34,Hispanic,38,24,0.631578947368421
01019,35-64,Native American,29,11,0.3793103448275862
01019,35-64,Asian,33,11,0.3333333333333333
01019,35-64,Black,540,229,0.42407407407407405
01019,35-64,Other,86,13,0.1511627906976744
01019,35-64,White,9743,5676,0.5825721030483424
01019,35-64,Hispanic,184,13,0.07065217391304347
01019,65+,Native American,5,4,0.8
01019,65+,Asian,1,5,5.0
01019,65+,Black,258,164,0.6356589147286822
01019,65+,Other,1,3,3.0
01019,65+,White,5521,4279,0.7750407534866872
01019,65+,Hispanic,34,6,0.17647058823529413
01021,18-34,Native American,39,14,0.358974358974359
01021,18-34,Asian,76,14,0.18421052631578946
01021,18-34,Black,801,488,0.6092384519350812
01021,18-34,Other,361,43,0.11911357340720222
01021,18-34,White,7267,4030,0.554561717352415
01021,18-34,Hispanic,881,168,0.19069239500567536
01021,35-64,Native American,188,16,0.0851063829787234
01021,35-64,Asian,39,20,0.5128205128205128
01021,35-64,Black,1444,915,0.6336565096952909
01021,35-64,Other,340,36,0.10588235294117647
01021,35-64,White,14390,8665,0.6021542738012509
01021,35-64,Hispanic,1090,94,0.08623853211009175
01021,65+,Native American,36,8,0.2222222222222222
01021,65+,Asian,1,5,5.0
01021,65+,Black,530,397,0.7490566037735849
01021,65+,Other,42,17,0.40476190476190477
01021,65+,White,6399,5204,0.8132520706360369
01021,65+,Hispanic,64,13,0.203125
01023,18-34,Native American,1,1,1.0
01023,18-34,Asian,1,2,2.0
01023,18-34,Black,1046,703,0.6720841300191205
01023,18-34,Other,12,2,0.16666666666666666
01023,18-34,White,1202,882,0.7337770382695508
01023,18-34,Hispanic,11,3,0.2727272727272727
01023,35-64,Native American,8,0,0.0
01023,35-64,Asian,17,1,0.058823529411764705
01023,35-64,Black,2212,1418,0.6410488245931284
01023,35-64,Other,1,5,5.0
01023,35-64,White,2866,1930,0.6734124214933705
01023,35-64,Hispanic,28,1,0.03571428571428571
01023,65+,Native American,1,0,0.0
01023,65+,Asian,1,1,1.0
01023,65+,Black,1086,916,0.8434622467771639
01023,65+,Other,1,0,0.0
01023,65+,White,1836,1376,0.7494553376906318
01023,65+,Hispanic,1,2,2.0
01025,18-34,Native American,8,9,1.125
01025,18-34,Asian,14,5,0.35714285714285715
01025,18-34,Black,2405,1552,0.6453222453222454
01025,18-34,Other,1,13,13.0
01025,18-34,White,2241,1566,0.6987951807228916
01025,18-34,Hispanic,14,12,0.8571428571428571
01025,35-64,Native American,13,16,1.2307692307692308
01025,35-64,Asian,62,18,0.2903225806451613
01025,35-64,Black,4431,2722,0.614308282554728
01025,35-64,Other,1,11,11.0
01025,35-64,White,4941,3179,0.6433920259056871
01025,35-64,Hispanic,41,10,0.24390243902439024
01025,65+,Native American,5,2,0.4
01025,65+,Asian,6,5,0.8333333333333334
01025,65+,Black,1555,1176,0.7562700964630225
01025,65+,Other,1,4,4.0
01025,65+,White,3108,2364,0.7606177606177607
01025,65+,Hispanic,5,2,0.4
01027,18-34,Native American,6,5,0.8333333333333334
01027,18-34,Asian,14,4,0.2857142857142857
01027,18-34,Black,498,202,0.40562248995983935
01027,18-34,Other,1,12,12.0
01027,18-34,White,1973,1264,0.6406487582361885
01027,18-34,Hispanic,115,14,0.12173913043478261
01027,35-64,Native American,1,9,9.0
01027,35-64,Asian,7,4,0.5714285714285714
01027,35-64,Black,752,427,0.5678191489361702
01027,35-64,Other,1,12,12.0
01027,35-64,White,4356,2924,0.6712580348943985
01027,35-64,Hispanic,143,26,0.18181818181818182
01027,65+,Native American,1,6,6.0
01027,65+,Asian,1,4,4.0
01027,65+,Black,344,174,0.5058139534883721
01027,65+,Other,1,5,5.0
01027,65+,White,2351,1885,0.8017864738409187
01027,65+,Hispanic,7,7,1.0
01029,18-34,Native American,1,0,0.0
01029,18-34,Asian,1,5,5.0
01029,18-34,Black,56,44,0.7857142857142857
01029,18-34,Other,69,7,0.10144927536231885
01029,18-34,White,2613,1561,0.5973976272483735
01029,18-34,Hispanic,121,17,0.14049586776859505
01029,35-64,Native American,10,6,0.6
01029,35-64,Asian,3,5,1.6666666666666667
01029,35-64,Black,199,113,0.5678391959798995
01029,35-64,Other,10,8,0.8
01029,35-64,White,5514,3587,0.6505259339862169
01029,35-64,Hispanic,95,18,0.18947368421052632
01029,65+,Native American,4,5,1.25
01029,65+,Asian,1,0,0.0
01029,65+,Black,129,61,0.4728682170542636
01029,65+,Other,1,5,5.0
01029,65+,White,2760,2128,0.7710144927536232
01029,65+,Hispanic,6,3,0.5
