Project ID,private,Project Name,Facility Name,State,Street Address,City,ZIP Code,County or Parish,Longitude,Latitude,Project Description,Classification,Industry Sector,Project Type,Greenhouse Gases (CO2e),Particulate Matter (PM2.5),Nitrogen Oxides (NOx),Volatile Organic Compounds (VOC),Sulfur Dioxide (SO2),Carbon Monoxide (CO),Hazardous Air Pollutants (HAPs),Operating Status,Actual or Expected Completion Year,Operating Status Sources and Notes,Project Cost (million $),Number of Jobs Promised
2724,FALSE,3 Brothers Compressor Station - Re-permitting,3 Brothers Compressor Station[740],PA,858 Atlasburg Rd,Burgettstown ,15021,Washington,-80.380335,40.331198,Construction and re-permitting of a natural gas compressor station.,New,Natural Gas,Compressor Station,116031,7,39,44,0,51,10,Operating,2013,,,
2726,FALSE,Borger Nitrogen Operations Ammonia/Urea Expansion,Agrium US Borger Nitrogen Operations[742],TX,FM 1551 (near Hwy 136),Borger,79007,Hutchison,-101.422777,35.641666,Expansion of an ammonia and urea plant.,Expansion,Synthetic Fertilizers,Ammonia/Urea Plants,1531239,102.41,72.96,8.5,3.49,85.64,,Operating,2018,"According to the Preliminary Determination Summary associated with Permit Number GHGPSDTX155, construction was expected to be completed to be in 2018.",,
2727,FALSE,"Steam Methane Reformer Plant, SMR Furnace ID Fan Replacement Project",Air Liquide Bayport Complex[758],TX,11400 Bay Area Blvd,Pasadena,77507,Harris,-95.0458,29.6225,"An expansion project to authorize the replacement of the induced draft fan on the SMR furnace during a planned major plant turnaround in 2021. The new fan would allow the SMR furnace to process more natural gas into hydrogen, thus increasing the combustion emissions from the furnaceâ€™s existing burners.",Expansion,Petrochemicals and Plastics,Hydrogen Plant,,4.24,5.42,2.05,-1.12,9.82,,Operating,2021,"TCEQ Permit Application, Form PI-1 (07/10/2020)
 
Construction to take place 4/1-5/1 2021",,
2737,FALSE,Annova LNG Terminal - Initial Construction,Annova LNG Brownsville[750],TX,USFWS Access Road (left from intersection of Boca Chica Blvd and Kingston Ave),Brownsville,78521,Cameron,-97.2675,26.00556,Construction of a new 6 million tonnes per year liquefied natural gas export terminal.,New,Liquefied Natural Gas,Liquefied Natural Gas Terminal or Liquefaction Plant,353072,15.79,82.33,51,83.02,134.67,5.04,Canceled,2025,cancelled on 3/23/2021,,
2738,FALSE,Armagh Compressor Station.10353-01,Armagh Compressor Station[751],PA,Horse Thief Rd,New Florence,15944,Indiana,-79.083326,40.432091,"Construction of one (1) Solar Titan 130 lean-premixed dry low-NOX natural gas-fired combustion turbine (to drive a centrifugal natural gas compressor) and other ancillary sources at the Armagh Compressor Station, an existing facility.",Expansion,Natural Gas,Compressor Station,207046,9.9,113.3,49.9,5.1,110.1,6.6,Operating,2019,"0.61 TPY single HAP for benzene. Minor plan approval issued on 3/30/2015 to make minor revisions to the leak detection and repair requirements at the Armagh Compressor Station, to be consistent with other recently issues plan approvals. Nine (9) extensions issued, most recently on 2/26/2019. Operating permit issued on 9/24/2019 and includes the Solar Titan 130 lean-premixed dry low-NOX natural gas-fired combustion turbine in the descroption; This permit incorporated the sources authorized under plan approval 32-00230B. Emissions taken from PA Bulletin (Vol 49, Issue 15). Assumed source started operating in 2019 under TV permit, which incorporates PTE. Failed a state stack test inspection on 3/3/2017. Emisisons have been steadily rising since 2012. **Operating permit amended on 6/16/2020; not online, need to FOIA.*",,
2740,FALSE,BASF Ethylene Cracker Furnace Expansion,BASF TOTAL FINA NAFTA Region Olefins Complex[754],TX,"State Hwy 366, Gate 99",Port Arthur,77642,Jefferson,-93.883961,29.953919,Construction of a 10th cracking furnace at the existing ethylene plant and modifications to existing equipment to supplement steam supplies. The furnace will be optimized to handle ethane gas. This expansion would increase the plant's ethylene production capacity to 2.87 billion pounds per year (more than 1 million metric tons per year).,Expansion,Petrochemicals and Plastics,Ethylene Cracker,915542,185.47,49.92,46.04,23.15,159.93,,Operating,2014,"According to the company's website, construction of the 10th cracking furnace was completed in 2014 (https://www.basf.com/us/en/who-we-are/organization/locations/featured-sites/Port-Arthur.html).",,
2744,FALSE,OQ Chemicals Bay City Propanol II Unit,OQ Chemicals Bay City Plant[3252],TX,2001 FM 3057,Bay City,77414,Matagorda,-96.020045,28.862886,Construction of a new n-Propanol manufacturing unit (â€œPrOH-IIâ€,Expansion,Petrochemicals and Plastics,Other Chemicals,28406,1.2,66.58,8.02,3.4,19.24,,Operating,2018,"Construction began in March 2017:https://www.businesswire.com/news/home/20170316005792/en/Oxea-Builds-Second-Propanol-Unit-at-Bay-City-Texas

Operations began in September 2018: 
https://baycitytribune.com/community/article_e8895a2a-c35b-11e8-8daa-1b7a2d16c999.html",,
2745,FALSE,"Bayou Cogeneration Plant, Turbine Replacement Project",Air Liquide Bayport Complex[758],TX,11400 Bay Area Blvd,Pasadena,77507,Harris,-95.0458,29.6225,Replacement of four gas-fired turbines and three boilers at the Bayou Cogeneration Plant,Expansion,Petrochemicals and Plastics,Associated Electricity Generation,2572215,39.37,-99.39,17.36,10.99,468.94,,Operating,2016,"Construction began November 2013 and concluded in February 2016:
https://www.airliquide.com/united-states-america/air-liquide-completes-major-upgrade-expansion-its-bayport-industrial-complex",230,250 temporary
2746,FALSE,Baytown Ethylene Unit Expansion,ExxonMobil Chemical Baytown Olefins Plant[759],TX,3525 Decker Dr,Baytown,77520,Harris,-95.009625,29.759067,Construction of 8 ethylene steam cracking furnaces and associated equipment at an existing petrochemical manufacturing facility.,Expansion,Petrochemicals and Plastics,Ethylene Cracker,1453293,73.28,232.27,219.4,22.44,929.75,,Operating,2018,"News article:
https://www.rigzone.com/news/exxonmobil_adds_notch_with_baytown_cracker-26-jul-2018-156420-article/

Company website:
https://corporate.exxonmobil.com/Locations/United-States/Baytown-area-operations-overview#Aboutus",,
2747,FALSE,TPC Group - BD Expansion Project,TPC Group - Houston Plant[911],TX,8600 Park Pl Blvd,Houston,77017,Harris,-95.253888,29.699166,Modifications to expand the production of butadiene and other light olefin products.,Expansion,Petrochemicals and Plastics,Plastic Resin Manufacturing,274494,23.08,35.02,71.99,3.34,34.45,,Pre-construction,2021,"TCEQ Permit Application, Form P-1, Section V, available at: 
https://www.dropbox.com/sh/dfu434fasxh5pmv/AACRUaUAq_2yu7x6_UBMixF5a?dl=0",,
