Coordinates,State,County or Parish,Company,Facility,Project,Type,Status,Sector,Potential CO2e (tons/year),Estimated population - 3 miles,Percent people of color - 3 miles,Percent low income - 3 miles
"-150.167, 67.268",AK,Yukon-Koyukuk Census Area,Alaska Gasline Development Corporation,Coldfoot Compressor Station,Coldfoot Compressor Station - Initial Construction,Compressor Station,Pre-construction,Natural Gas,227495.8401,,71,40
"-149.332, 68.409",AK,North Slope Borough,Alaska Gasline Development Corporation,Galbraith Lake Compressor Station,Galbraith Lake Compressor Station - Initial Construction,Compressor Station,Pre-construction,Natural Gas,227495.8401,,,
"-148.5573, 70.3199",AK,North Slope Borough,Alaska Gasline Development Corporation,Alaska LNG - Gas Treatment Plant,Alaska LNG - Gas Treatment Plant- Initial Construction,Gas Processing Plant,Pre-construction,Natural Gas,7278238,,18,11
"-149.116, 63.964",AK,Denali Borough,Alaska Gasline Development Corporation,Healy Compressor Station,Healy Compressor Station -Initial Construction,Compressor Station,Pre-construction,Natural Gas,227495.8401,,19,39
"-149.48, 63.087",AK,Matanuska-Susitna Borough,Alaska Gasline Development Corporation,Honolulu Creek Compressor Station,Honolulu Creek Compressor Station - Initial Construction,Compressor Station,Pre-construction,Natural Gas,182997.79,,,
"-151.365174, 60.66894",AK,Kenai Peninsula,Agrium US Inc,Kenai Nitrogen Operations Facility,Kenai Nitrogen Operations Facility - Restart Project,Ammonia/Urea Plants,Pre-construction,Synthetic Fertilizers,2197970,,19,30
"-151.367305, 60.683876",AK,Kenai Peninsula,Tesoro Alaska Company LLC,Kenai Refinery,Kenai Refinery - New Cogeneration System,Refinery,On hold,Oil,106988,,20,31
"-151.3593, 60.6655",AK,Kenai Peninsula,Alaska Gasline Development Corporation,Alaska LNG - Liquefaction Plant,Alaska LNG - New Liquefaction Plant,Liquefied Natural Gas Terminal or Liquefaction Plant,On hold,Liquefied Natural Gas,8572968,,19,30
"-148.637, 65.213",AK,Yukon-Koyukuk Census Area,Alaska Gasline Development Corporation,Minto Compressor Station,Minto Compressor Station - Initial Construction,Compressor Station,Pre-construction,Natural Gas,227495.8401,,,
"-146.256845, 70.17205",AK,North Slope Borough,ExxonMobil Alaska Production Inc.,Point Thomson Production Facility,Point Thomson Production Facility,Gas Processing Plant,Operating,Natural Gas,212737,,,
"-150.214, 62.174",AK,Matanuska-Susitna Borough,Alaska Gasline Development Corporation,Rabideux Creek Compressor Station,Rabideux Creek Compressor Station - Initial Construction,Compressor Station,Pre-construction,Natural Gas,211266.53,,14,30
"-150.175, 66.137",AK,Yukon-Koyukuk Census Area,Alaska Gasline Development Corporation,Ray River Compressor Station,Ray River Compressor Station - Initial Construction,Compressor Station,Pre-construction,Natural Gas,227495.8401,,,
"-148.763, 69.286",AK,North Slope Borough,Alaska Gasline Development Corporation,Sagwon Compressor Station,Sagwon Compressor Station - Initial Construction,Compressor Station,Pre-construction,Natural Gas,257703.5434,,,
"-150.999, 61.325",AK,Matanuska-Susitna Borough,Alaska Gasline Development Corporation,Theodore River Heater Station,Theodore River Heater Station - Initial Construction,Other Pipeline Infrastructure,Pre-construction,Natural Gas,138010.31,,,
"-88.029904, 30.978994",AL,Mobile,Arkema Inc.,Axis Mobile Plant,Axis Plant - PEKK and Latex Production Expansion,Other Chemicals,Operating,Petrochemicals and Plastics,,804,29,35
"-88.189649, 30.39572",AL,Mobile,"Gulfstream Natural Gas System, LLC",Compressor Station 410,Gulfstream Compressor Station 410,Compressor Station,Under construction,Natural Gas,78039,2220,23,51
"-86.170351, 32.896463",AL,Coosa,"Transcontinental Gas Pipe Line Company, LLC",Hillabee Compressor Station 105,Hillabee Compressor Station 105,Compressor Station,Operating,Natural Gas,258464,729,41,43
"-88.380759, 32.053512",AL,Choctaw,"Transcontinental Gas Pipe Line Company, LLC",Hillabee Compressor Station 84,Hillabee Compressor Station 84,Compressor Station,Operating,Natural Gas,133570,303,9,28
"-87.329309, 32.433734",AL,Dallas,"Transcontinental Gas Pipe Line Company, LLC",Hillabee Compressor Station 95,Hillabee Compressor Station 95,Compressor Station,Operating,Natural Gas,204590,88,85,55
"-88.135, 30.526",AL,Mobile,BASF Corporation,Trilon M Plant,Trilon M Plant,Other Chemicals,Operating,Synthetic Fertilizers,,5456,40,50
"-87.06, 34.64",AL,Morgan,"Indorama Ventures Xylenes & PTA, LLC",IVXP Decatur Facility,Unit 4 Upgrade Project and NDC CRU Project.10189-01,Plastic Resin Manufacturing,Operating,Petrochemicals and Plastics,,1379,52,39
"-85.896877, 33.002682",AL,Tallapoosa,"Transcontinental Gas Pipe Line Company, LLC",Alexander City Compressor Station,Alexander City Compressor Station,Compressor Station,Operating,Natural Gas,302236,1716,18,44
"-92.688528, 33.265639",AR,Union,El Dorado Chemical Company,El Dorado Chemical Manufacturing Facility,DM Weatherly (DMW) Nitric Acid Plant,Other Chemicals,Operating,Synthetic Fertilizers,1061328.3,5920,30,33
"-92.143626, 34.375279",AR,Jefferson,Energy Security Partners,Energy Security Partners GTL Plant,Energy Security Partners GTL Plant - Initial Construction,Gas to Liquids Plant,Pre-construction,Petrochemicals and Plastics,8378365,1986,9,39
"-111.193098, 32.125651",AZ,Pima,Sierrita Gas Pipeline LLC,Sierrita Compressor Station,Sierrita Compressor Station,Compressor Station,Operating,Natural Gas,63153,2371,62,45
"-110.810039, 32.066473",AZ,Pima,"El Paso Natural Gas Company, LLC",Vail Compressor Station,"Vail Compressor Station, Piping Modification Project.10132-01",Compressor Station,Pre-construction,Natural Gas,35930,,34,20
"-109.662345, 32.109089",AZ,Cochise,"El Paso Natural Gas Company, LLC",Willcox and Dragoon Compressor Stations,Dragoon Compressor Station Addition,Compressor Station,Operating,Natural Gas,55062,,22,46
"-119.289834, 35.123377",CA,Kern,"Taft Ammonia Company, LLC",Taft Ammonia Fertilizer Plant,Taft Ammonia Fertilizer Plant - New Power Plant,Associated Electricity Generation,Pre-construction,Synthetic Fertilizers,,,90,73
"-114.611174, 34.694203",CA,San Bernardino,Southern California Gas Company,South Needles Compressor Station,South Needles Compressor Station.10330-01,Compressor Station,Pre-construction,Natural Gas,,,,
